Player,Team,Pos,G,MP,GS,MP_per_game,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Extra
Emma CannonINDF3031430310.52.04.5.4550.41.1.3821.63.3.4801.31.5.9090.83.10.50.10.11.11.45.8,IND,F,30,314,30,3,10.5,2.0,4.5,.455,0.4,1.1,.382,1.6,3.3,.480,1.3,1.5,.909,0.8,3.1,0.5,0.1,0.1,1.1,1.4,5.8
Bridget CarletonMINF3857338415.11.13.1.3450.82.3.3370.30.8.3670.30.4.7330.52.30.90.30.10.41.33.2,MIN,F,38,573,38,4,15.1,1.1,3.1,.345,0.8,2.3,.337,0.3,0.8,.367,0.3,0.4,.733,0.5,2.3,0.9,0.3,0.1,0.4,1.3,3.2
DiJonai CarringtonCONG-F3255032017.22.97.0.4170.71.9.3712.25.0.4351.82.3.7570.82.91.30.60.11.12.18.3,CON,G-F,32,550,32,0,17.2,2.9,7.0,.417,0.7,1.9,.371,2.2,5.0,.435,1.8,2.3,.757,0.8,2.9,1.3,0.6,0.1,1.1,2.1,8.3
Kaila CharlesSEAG-F4414010.30.83.0.2500.00.5.0000.82.5.3000.00.00.81.30.30.30.00.02.31.5,SEA,G-F,4,41,4,0,10.3,0.8,3.0,.250,0.0,0.5,.000,0.8,2.5,.300,0.0,0.0,0.8,1.3,0.3,0.3,0.0,0.0,2.3,1.5,
Layshia ClarendonLASG24687242428.64.08.0.4970.91.9.4573.16.1.5102.32.5.9151.03.03.41.10.02.32.611.1,LAS,G,24,687,24,24,28.6,4.0,8.0,.497,0.9,1.9,.457,3.1,6.1,.510,2.3,2.5,.915,1.0,3.0,3.4,1.1,0.0,2.3,2.6,11.1
Alysha ClarkLVAF3987639122.52.35.3.4441.33.4.3861.01.9.5480.70.8.8180.53.41.10.60.20.72.26.7,LVA,F,39,876,39,1,22.5,2.3,5.3,.444,1.3,3.4,.386,1.0,1.9,.548,0.7,0.8,.818,0.5,3.4,1.1,0.6,0.2,0.7,2.2,6.7
Natasha CloudWASG371199373732.44.010.7.3771.24.1.2982.86.6.4263.43.8.9000.23.76.21.10.32.62.612.7,WAS,G,37,1199,37,37,32.4,4.0,10.7,.377,1.2,4.1,.298,2.8,6.6,.426,3.4,3.8,.900,0.2,3.7,6.2,1.1,0.3,2.6,2.6,12.7
Nia CloudenLASG5545110.80.62.0.3000.20.6.3330.41.4.2860.20.4.5000.00.41.80.00.01.61.01.6,LAS,G,5,54,5,1,10.8,0.6,2.0,.300,0.2,0.6,.333,0.4,1.4,.286,0.2,0.4,.500,0.0,0.4,1.8,0.0,0.0,1.6,1.0,1.6
Nia CoffeyATLF31680313121.92.76.2.4321.12.6.4021.63.5.4550.50.8.6250.54.81.50.51.21.42.26.9,ATL,F,31,680,31,31,21.9,2.7,6.2,.432,1.1,2.6,.402,1.6,3.5,.455,0.5,0.8,.625,0.5,4.8,1.5,0.5,1.2,1.4,2.2,6.9
Napheesa CollierMINF371238373733.58.016.6.4850.93.1.2987.113.5.5274.55.4.8401.98.52.51.61.22.42.421.5,MIN,F,37,1238,37,37,33.5,8.0,16.6,.485,0.9,3.1,.298,7.1,13.5,.527,4.5,5.4,.840,1.9,8.5,2.5,1.6,1.2,2.4,2.4,21.5
Sydney ColsonLVAG281352804.80.41.0.4440.20.6.3750.20.4.5450.20.2.8330.10.40.80.30.00.20.91.3,LVA,G,28,135,28,0,4.8,0.4,1.0,.444,0.2,0.6,.375,0.2,0.4,.545,0.2,0.2,.833,0.1,0.4,0.8,0.3,0.0,0.2,0.9,1.3
Zia CookeLASG3954939414.11.75.8.2890.51.8.2611.24.0.3011.01.2.8130.30.90.80.30.30.70.94.8,LAS,G,39,549,39,4,14.1,1.7,5.8,.289,0.5,1.8,.261,1.2,4.0,.301,1.0,1.2,.813,0.3,0.9,0.8,0.3,0.3,0.7,0.9,4.8
Kahleah CopperCHIG-F381184383831.26.915.4.4481.84.5.4045.110.9.4663.14.0.7700.74.42.00.90.32.52.418.7,CHI,G-F,38,1184,38,38,31.2,6.9,15.4,.448,1.8,4.5,.404,5.1,10.9,.466,3.1,4.0,.770,0.7,4.4,2.0,0.9,0.3,2.5,2.4,18.7
Lauren CoxCONF10100.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0,CON,F,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Lorela CubajATLF-C319306.30.00.3.0000.00.00.00.3.0000.00.00.02.30.00.00.30.31.30.0,ATL,F-C,3,19,3,0,6.3,0.0,0.3,.000,0.0,0.0,0.0,0.3,.000,0.0,0.0,0.0,2.3,0.0,0.0,0.3,0.3,1.3,0.0,,
Sophie CunninghamPHOG31898313129.03.68.7.4131.95.5.3371.73.1.5462.32.6.8750.52.82.10.60.41.53.211.3,PHO,G,31,898,31,31,29.0,3.6,8.7,.413,1.9,5.5,.337,1.7,3.1,.546,2.3,2.6,.875,0.5,2.8,2.1,0.6,0.4,1.5,3.2,11.3
Crystal DangerfieldDALG35973353227.83.48.0.4250.82.7.2902.65.3.4920.60.8.8150.82.93.10.90.21.21.38.2,DAL,G,35,973,35,32,27.8,3.4,8.0,.425,0.8,2.7,.290,2.6,5.3,.492,0.6,0.8,.815,0.8,2.9,3.1,0.9,0.2,1.2,1.3,8.2
Elena Delle DonneWASF-G23633232327.56.212.7.4851.02.7.3935.110.1.5093.33.5.9380.95.42.10.80.91.31.916.7,WAS,F-G,23,633,23,23,27.5,6.2,12.7,.485,1.0,2.7,.393,5.1,10.1,.509,3.3,3.5,.938,0.9,5.4,2.1,0.8,0.9,1.3,1.9,16.7
Jasmine DickeyDALG14871406.20.92.4.3820.00.1.0000.92.4.3940.20.4.5000.50.80.10.30.10.41.12.1,DAL,G,14,87,14,0,6.2,0.9,2.4,.382,0.0,0.1,.000,0.9,2.4,.394,0.2,0.4,.500,0.5,0.8,0.1,0.3,0.1,0.4,1.1,2.1
Ivana DojkiÄSEAG23461231520.02.15.2.4031.02.4.4181.12.8.3911.31.9.7210.21.72.80.80.21.51.96.5,SEA,G,23,461,23,15,20.0,2.1,5.2,.403,1.0,2.4,.418,1.1,2.8,.391,1.3,1.9,.721,0.2,1.7,2.8,0.8,0.2,1.5,1.9,6.5
Stefanie DolsonNYLC2327323011.91.53.0.5150.51.1.4621.01.8.5480.50.6.7860.62.01.20.00.30.91.84.0,NYL,C,23,273,23,0,11.9,1.5,3.0,.515,0.5,1.1,.462,1.0,1.8,.548,0.5,0.6,.786,0.6,2.0,1.2,0.0,0.3,0.9,1.8,4.0
AD DurrATLG3639236010.91.74.5.3800.51.6.3221.22.9.4130.81.1.7690.11.10.70.30.10.80.84.8,ATL,G,36,392,36,0,10.9,1.7,4.5,.380,0.5,1.6,.322,1.2,2.9,.413,0.8,1.1,.769,0.1,1.1,0.7,0.3,0.1,0.8,0.8,4.8
Emily EngstlerMINF12931207.80.71.8.3810.20.6.2860.51.2.4290.30.7.3750.92.40.60.40.10.80.71.8,MIN,F,12,93,12,0,7.8,0.7,1.8,.381,0.2,0.6,.286,0.5,1.2,.429,0.3,0.7,.375,0.9,2.4,0.6,0.4,0.1,0.8,0.7,1.8
Dana EvansCHIG3983739121.53.08.3.3601.13.7.2941.94.6.4131.92.3.8540.21.23.00.70.11.61.29.0,CHI,G,39,837,39,1,21.5,3.0,8.3,.360,1.1,3.7,.294,1.9,4.6,.413,1.9,2.3,.854,0.2,1.2,3.0,0.7,0.1,1.6,1.2,9.0
Dulcy Fankam MendjiadeuSEAF-C34470342113.81.63.1.5230.00.0.0001.63.1.5280.61.2.5501.74.40.40.40.30.92.13.9,SEA,F-C,34,470,34,21,13.8,1.6,3.1,.523,0.0,0.0,.000,1.6,3.1,.528,0.6,1.2,.550,1.7,4.4,0.4,0.4,0.3,0.9,2.1,3.9
Cayla GeorgeLVAC-F322733208.50.93.3.2880.52.0.2340.51.3.3750.00.1.0000.51.80.40.30.20.81.12.3,LVA,C-F,32,273,32,0,8.5,0.9,3.3,.288,0.5,2.0,.234,0.5,1.3,.375,0.0,0.1,.000,0.5,1.8,0.4,0.3,0.2,0.8,1.1,2.3
Rebekah GardnerCHIG3593019.72.04.7.4291.01.7.6001.03.0.3332.02.01.0000.33.72.32.00.31.72.77.0,CHI,G,3,59,3,0,19.7,2.0,4.7,.429,1.0,1.7,.600,1.0,3.0,.333,2.0,2.0,1.000,0.3,3.7,2.3,2.0,0.3,1.7,2.7,7.0
Cyesha GoreeWASF1011610011.61.53.2.4690.31.4.2141.21.8.6670.60.7.8570.71.20.10.30.10.41.23.9,WAS,F,10,116,10,0,11.6,1.5,3.2,.469,0.3,1.4,.214,1.2,1.8,.667,0.6,0.7,.857,0.7,1.2,0.1,0.3,0.1,0.4,1.2,3.9
Allisha GrayATLG381244383832.75.812.4.4651.13.1.3564.79.3.5014.45.4.8241.24.93.11.10.41.92.617.1,ATL,G,38,1244,38,38,32.7,5.8,12.4,.465,1.1,3.1,.356,4.7,9.3,.501,4.4,5.4,.824,1.2,4.9,3.1,1.1,0.4,1.9,2.6,17.1
Chelsea GrayLVAG401288404032.25.611.5.4901.63.8.4214.07.7.5242.42.7.8970.34.07.31.40.62.51.815.3,LVA,G,40,1288,40,40,32.2,5.6,11.5,.490,1.6,3.8,.421,4.0,7.7,.524,2.4,2.7,.897,0.3,4.0,7.3,1.4,0.6,2.5,1.8,15.3
Brittney GrinerPHOC31856313127.67.112.6.5600.00.3.1117.012.3.5713.44.4.7721.26.32.20.51.62.12.117.5,PHO,C,31,856,31,31,27.6,7.1,12.6,.560,0.0,0.3,.111,7.0,12.3,.571,3.4,4.4,.772,1.2,6.3,2.2,0.5,1.6,2.1,2.1,17.5
