Player,Team,G,FG%,FT%,3P%,League
Myisha Hines-Allen,WAS,35,0.34,0.717,0.273,WNBA
NaLyssa Smith,IND,31,0.477,0.677,0.284,WNBA
Napheesa Collier,MIN,37,0.485,0.84,0.298,WNBA
Natasha Cloud,WAS,37,0.377,0.9,0.298,WNBA
Natasha Howard,DAL,39,0.458,0.815,0.299,WNBA
Natisha Hiedeman,CON,40,0.392,0.739,0.366,WNBA
Naz Hillmon,ATL,40,0.509,0.852,0.0,WNBA
Nia Coffey,ATL,31,0.432,0.625,0.402,WNBA
Nikolina Milic,MIN,39,0.464,0.804,0.364,WNBA
Nneka Ogwumike,LAS,36,0.512,0.87,0.339,WNBA
Nyara Sabally,NYL,33,0.424,0.75,0.222,WNBA
Odyssey Sims,DAL,28,0.304,0.55,0.133,WNBA
Olivia Nelson-Ododa,CON,39,0.537,0.708,,WNBA
Queen Egbo,TOT,37,0.5,0.638,,WNBA
Rachel Banham,MIN,32,0.37,0.786,0.402,WNBA
Rae Burrell,LAS,29,0.387,0.81,0.39,WNBA
Rebecca Allen,CON,40,0.408,0.704,0.348,WNBA
Rhyne Howard,ATL,39,0.385,0.788,0.352,WNBA
Robyn Parks,CHI,37,0.381,1.0,0.368,WNBA
Ruthy Hebard,CHI,19,0.585,0.65,,WNBA
Sabrina Ionescu,NYL,36,0.423,0.872,0.448,WNBA
Sami Whitcomb,SEA,40,0.4,0.83,0.385,WNBA
Satou Sabally,DAL,38,0.435,0.874,0.361,WNBA
Shakira Austin,WAS,19,0.5,0.61,,WNBA
Shatori Walker-Kimbrough,WAS,40,0.429,0.936,0.39,WNBA
Shey Peddy,PHO,18,0.369,0.8,0.348,WNBA
Sika Koné,CHI,20,0.532,0.769,0.333,WNBA
Sophie Cunningham,PHO,31,0.413,0.875,0.337,WNBA
Stefanie Dolson,NYL,23,0.515,0.786,0.462,WNBA
Sug Sutton,PHO,40,0.385,0.807,0.337,WNBA
Sydney Colson,LVA,28,0.444,0.833,0.375,WNBA
Taylor Soule,CHI,15,0.143,0.625,0.0,WNBA
Teaira McCowan,DAL,30,0.551,0.586,0.0,WNBA
Tianna Hawkins,WAS,40,0.491,0.75,0.333,WNBA
Tiffany Hayes,CON,40,0.476,0.778,0.366,WNBA
Tiffany Mitchell,MIN,33,0.404,0.833,0.289,WNBA
Tyasha Harris,CON,40,0.416,0.68,0.464,WNBA
Veronica Burton,DAL,40,0.294,0.912,0.271,WNBA
Victaria Saxton,IND,15,0.333,0.857,0.5,WNBA
Victoria Vivians,IND,38,0.38,0.767,0.287,WNBA
Yvonne Turner,SEA,21,0.463,0.778,0.333,WNBA
Zia Cooke,LAS,39,0.289,0.813,0.261,WNBA
